image,mask,slide_id,split
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r16c0.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r16c0.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r17c0.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r17c0.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r17c1.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r17c1.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r17c2.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r17c2.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r18c0.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r18c0.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r18c1.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r18c1.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r18c2.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r18c2.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r19c0.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r19c0.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r19c1.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r19c1.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r19c2.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r19c2.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r20c0.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r20c0.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r20c1.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r20c1.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r21c0.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r21c0.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r21c1.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r21c1.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r21c2.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r21c2.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r22c3.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r22c3.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r22c5.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r22c5.png,1009009,val
train/tumor/patch/640x640/1009009/01-roi/01-original/1009009_r23c2.png,train/tumor/patch/640x640/1009009/01-roi/02-mask/1009009_r23c2.png,1009009,val
